NAME_CD	IL_STATUS	IN_STATUS	MI_STATUS	WI_STATUS	FEDERAL_STATUS	TE_NOTES
JUAM			T			
RUHU			T	E		
RUST2			T			
ECBE2		X		SC		name used on IN state list; synonym used on WI state list
ECRO				SC		name used on WI state list
ECPA6		E				name used on IN state list
ECTE2	E	E	E			name used on IL and MI state lists; synonym used on IN state list
SACAC				SC		name used on WI state list
SAMOC2			T	SC		name used on MI state list; synonym used on WI state list
RHARA		T				
RHAR4				SC		
COCH2	E	E		E		
ERBU				E		
ERYU			T			
HYRA	E					
PEAM2		E				
PONU4		E	X	T		
THBA				E		
THTRF				SC		name used on WI state list
THTRA				SC		synonym used on WI state list
ZIAP		R	T			
BEER			T			
CHPR				SC		
CAPA	E	E				
ARHI2		E				
PAQU			T			
ARSE3			T			
ASHI			T			
ASLA3	E			T		
ASME	E	SRE			T	
ASOV	E		E	T		
ASPU2			SC	E		
ASSU3			T	T		
ASRH2			T			
COPA10			T			
ECPA				T		
ECPU			X			
ECPR				SC		name used on WI state list
ECAL				SC		synonym used on WI state list
EUFI			T			
EUSEB				SC		
EUSE3			T			
ASFU	T	R	T	T		
ASSC2		E				
CASU				SC		
HEGI	E					
HEHI2			SC			
HEMO2			T			
HIPA2			SC			
HYSC	T					
LAFL			T			
LALU		X				
LAPU			T			
LIPY		T				
LISCN	T					
LISP				SC		
MEBE2	E					
MISC		E	X			
NOCU	E			SC		name used on IL and WI state lists
MICU6	E			SC		synonym used on IL and WI state lists
SOPT4		R				
SOOH				SC		
SEPL				SC		
PAIN3				T		
CAMU23				SC		
CAPL			SC	T		name used on MI state list; synonym used on WI state list
CATU10				T		name used on WI state list
ARDR4	E			SC		
ARFR4				SC		
ARLU			T			
PRAS		R		E		
PRCR		R		E		
GNMA		X				
RUSU			X			
SIIN2			T			
SILA3			T			
SIPE2			T			
SOCA4				E		
SOMI2			T			
SOSIG2		T		T		
ASJU		R				name used on IN state list
ASBO7		R				synonym used on IN state list
ASDUS				SC		
ASOB2		R				
ASPR2			SC			
ASSE2		R	T			
TEHE4	E		E		T	
KUEUC			SC			name used on MI state list
BREUC			SC			synonym used on MI state list
POUV2			T			
CIHI		E	SC	T		
CIPI	T	T	T	T	T	
AZCA		T				
JEDI			SC	SC		
BECA2	E	E				
COCO6	E					
ALINR	E					
BEAL2	E					
BEPO		X				
CASP8		R				
WOAR		R	X			
LIIN2		E	X			
LILA2			SC	SC		
MEVI3			T			
MYLA		E		SC		
ONHI		E				name used on IN state list
ONMOH			X			name used on MI state list
ONBEH		E	X			synonyms used on IN and MI state lists
DRRE2			T			
ARDR		E				name used on IN state list
BODR		E				synonym used on IN state list
