NAME_CD	NAME	SOURCE_CD
ALSA2	cultivated garlic	UP
ALSC	wild chives	UP
ALSC3	sand leek	UP
ALSCR	sand leek	UP
ALSCS	wild chives	UP
ALSCS2	wild chives	UP
ALSE2	hazel alder	UP
ALST	autumn onion	UP
ALSU	American water plantain	UP
ALTER2	joyweed	UP
ALTHA	marshmallow	UP
ALTR3	wild leek	UP
ALTR7	northern water plantain	UP
ALTU3	Chinese chives	UP
ALVI	wild garlic	UP
ALVI5	green alder	UP
ALVIC	mountain alder	UP
ALVIV	wild garlic	UP
ALYSS	madwort	UP
AMAC4	monkshoodvine	UP
AMAL	prostrate pigweed	UP
AMAR	sandhill amaranth	UP
AMAR2	annual ragweed	UP
AMAR3	common serviceberry	UP
AMAR4	European beachgrass	UP
AMAR5	peppervine	UP
AMARA	pigweed	UP
AMARA2	annual ragweed	UP
AMARA4	common serviceberry	UP
AMARE	annual ragweed	UP
AMBA	oblongfruit serviceberry	UP
AMBER	amberboa	UP
AMBI2	lanceleaf ragweed	UP
AMBL	mat amaranth	UP
AMBL2	purple amaranth	UP
AMBR	American beachgrass	UP
AMBR2	American hogpeanut	UP
AMBR7	Amur peppervine	UP
AMBRB	American hogpeanut	UP
AMBRC	American hogpeanut	UP
AMBRO	ragweed	UP
AMCA2	tidalmarsh amaranth	UP
AMCA3	love-lies-bleeding	UP
AMCA4	Canadian serviceberry	UP
AMCA6	leadplant	UP
AMCO	valley redstem	UP
AMCO2	heartleaf peppervine	UP
AMCR	spreading amaranth	UP
AMCR4	red amaranth	UP
AMDE	largefruit amaranth	UP
AMDR	prairie broomweed	UP
AMELA	serviceberry	UP
AMERO	amerorchis	UP
AMFR	desert false indigo	UP
AMHU2	low serviceberry	UP
AMHY	slim amaranth	UP
AMHY2	Prince-of-Wales feather	UP
AMIAN	amianthium	UP
AMIN2	Pacific serviceberry	UP
AMLA	Allegheny serviceberry	UP
AMLY	tarweed fiddleneck	UP
AMMA	large bullwort	UP
AMMAN	redstem	UP
AMME	Menzies' fiddleneck	UP
AMMEI2	common fiddleneck	UP
AMMI4	ammi	UP
AMMO	sweetsultan	UP
AMMOP	beachgrass	UP
AMMU	flypoison	UP
AMNI	shining false indigo	UP
AMORP	false indigo	UP
AMPA	carelessweed	UP
AMPEL3	peppervine	UP
AMPHI4	hogpeanut	UP
AMPHI8	broomweed	UP
AMPO2	Powell's amaranth	UP
AMPS	Cuman ragweed	UP
AMRE	redroot amaranth	UP
AMRO	roundleaf orchid	UP
AMRO3	grand redstem	UP
AMRU	tall amaranth	UP
AMSA	roundleaf serviceberry	UP
AMSAG	Gaspe serviceberry	UP
AMSAS	roundleaf serviceberry	UP
AMSIN	fiddleneck	UP
AMSON	bluestar	UP
AMSP	spiny amaranth	UP
AMSP3	woolly breeches	UP
AMST80	running serviceberry	UP
AMTA2	eastern bluestar	UP
AMTAS	eastern bluestar	UP
AMTAT	eastern bluestar	UP
AMTO3	skeletonleaf burr ragweed	UP
AMTR	great ragweed	UP
AMTR2	Joseph's-coat	UP
AMTRT	Texan great ragweed	UP
AMTRT2	great ragweed	UP
AMTU	roughfruit amaranth	UP
AMVI	slender amaranth	UP
AMVI2	toothpickweed	UP
ANACY	anacylus	UP
ANAGA	pimpernel	UP
ANAPH	pearly everlasting	UP
ANAR	scarlet pimpernel	UP
ANAR16	small bugloss	UP
ANAR6	corn chamomile	UP
ANAR7	annual vernalgrass	UP
ANARA7	scarlet pimpernel	UP
ANARF	poorman's weatherglass	UP
ANAT	purplestem angelica	UP
ANAZ	Italian bugloss	UP
ANBL2	Greek thimbleweed	UP
ANCA14	burr chervil	UP
ANCA8	Canadian anemone	UP
ANCA9	Carolina anemone	UP
ANCE	garden chervil	UP
ANCHU	bugloss	UP
ANCL	whitebuttons	UP
ANCO2	stinking chamomile	UP
ANCR2	crested anoda	UP
ANCY	candle anemone	UP
ANDRO	bog rosemary	UP
ANDRO2	bluestem	UP
ANDRO3	rockjasmine	UP
ANEMO	anemone	UP
ANETH	dill	UP
ANGE	big bluestem	UP
ANGEL	angelica	UP
ANGL2	bushy bluestem	UP
ANGLG2	bushy bluestem	UP
ANGR2	dill	UP
ANGY2	Elliott's bluestem	UP
ANGYG	Elliott's bluestem	UP
ANHA	sand bluestem	UP
ANHO	Howell's pussytoes	UP
ANHOC	Canadian pussytoes	UP
ANHON	Howell's pussytoes	UP
ANHOP	small pussytoes	UP
ANMA	western pearly everlasting	UP
ANMA3	garden snapdragon	UP
ANMI4	chaffweed	UP
ANMU	Pacific anemone	UP
ANMUH2	Hudson's anemone	UP
ANNE	field pussytoes	UP
ANOC2	western rockjasmine	UP
ANOD	sweet vernalgrass	UP
ANODA	anoda	UP
ANOF	common bugloss	UP
ANPA4	small-leaf pussytoes	UP
ANPA9	Parlin's pussytoes	UP
ANPAF	Parlin's pussytoes	UP
ANPAP	Parlin's pussytoes	UP
ANPL	woman's tobacco	UP
ANPO	bog rosemary	UP
ANPOG	bog rosemary	UP
ANQU	nightcaps	UP
ANQUB2	twoleaf anemone	UP
ANQUQ	nightcaps	UP
ANRO2	rosy pussytoes	UP
ANROR	rosy pussytoes	UP
ANSO	singlehead pussytoes	UP
ANSY	wild chervil	UP
ANTE2	splitbeard bluestem	UP
ANTEN	pussytoes	UP
ANTET	splitbeard bluestem	UP
ANTHE	chamomile	UP
ANTHO	vernalgrass	UP
ANTHR	chervil	UP
ANTHY	kidneyvetch	UP
ANTI	golden chamomile	UP
ANTIR2	snapdragon	UP
ANTR2	filmy angelica	UP
ANVE	hairy angelica	UP
ANVI13	shalebarren pussytoes	UP
ANVI2	broomsedge bluestem	UP
ANVI3	tall thimbleweed	UP
ANVIA2	tall thimbleweed	UP
ANVIV	broomsedge bluestem	UP
ANVIV2	tall thimbleweed	UP
ANVU	common kidneyvetch	UP
APAM	groundnut	UP
APAN2	spreading dogbane	UP
APCA	Indianhemp	UP
APERA	silkybent	UP
APGR2	wild celery	UP
APGRD	wild celery	UP
APHY	Adam and Eve	UP
APIN	dense silkybent	UP
APIOS	groundnut	UP
APIUM	celery	UP
APLEC	Adam and Eve	UP
APNO	European marshwort	UP
APOCY	dogbane	UP
APPR	traveler's delight	UP
APRE	creeping marshwort	UP
APSP	loose silkybent	UP
AQCA	red columbine	UP
AQUIL	columbine	UP
AQVU	European columbine	UP
ARAB2	southernwood	UP
ARAB3	absinthium	UP
ARABI	rockcress	UP
ARABI2	rockcress	UP
ARAC3	common leopardbane	UP
ARACH	peanut	UP
ARAL3	bluestem pricklypoppy	UP
ARALA2	bluestem pricklypoppy	UP
ARALI	spikenard	UP
ARAN3	sweet sagewort	UP
ARAN7	silverweed cinquefoil	UP
ARAT	pale Indian plaintain	UP
ARBA2	forked threeawn	UP
ARBI2	biennial wormwood	UP
ARBIB	biennial wormwood	UP
ARBU	dragon's mouth	UP
ARCA	sicklepod	UP
ARCA12	field sagewort	UP
ARCA14	Carruth's sagewort	UP
ARCA18	gray rockcress	UP
ARCAB2	field sagewort	UP
ARCAB4	field sagewort	UP
ARCAC	field sagewort	UP
ARCEU	dwarf mistletoe	UP
ARCH12	Chinese angelica tree	UP
ARCL	birthwort	UP
ARCO9	heartleaf arnica	UP
ARCTI	burrdock	UP
ARCTO3	manzanita	UP
ARDE3	curly threeawn	UP
ARDE5	powdery false cloak fern	UP
ARDI2	spreadingpod rockcress	UP
ARDI4	churchmouse threeawn	UP
ARDI8	bride's feathers	UP
ARDIC	Curtis' threeawn	UP
ARDID	churchmouse threeawn	UP
ARDID2	bride's feathers	UP
ARDIP	bride's feathers	UP
ARDIV	bride's feathers	UP
ARDO4	giant reed	UP
ARDR	Drummond's rockcress	UP
ARDR3	green dragon	UP
ARDR4	tarragon	UP
AREL3	tall oatgrass	UP
AREL8	Japanese angelica tree	UP
ARELB	tall oatgrass	UP
ARELE	tall oatgrass	UP
ARENA	sandwort	UP
ARETH	dragon's mouth	UP
ARFR4	prairie sagewort	UP
ARGEM	pricklypoppy	UP
ARGEN	silverweed	UP
ARGI	giant cane	UP
ARGIG	giant cane	UP
ARGL	tower rockcress	UP
ARGYR5	false cloak fern	UP
ARHI	hairy rockcress	UP
ARHI2	bristly sarsaparilla	UP
ARHI3	small carpgrass	UP
ARHIG	mountain rockcress	UP
ARHIP	creamflower rockcress	UP
ARHO2	Holboell's rockcress	UP
ARHOR	second rockcress	UP
ARHY	peanut	UP
ARISA	Jack in the pulpit	UP
ARIST	threeawn	UP
ARIST2	dutchman's pipe	UP
ARIT	Italian lords and ladies	UP
ARLA	smooth rockcress	UP
ARLA3	greater burrdock	UP
ARLAB	Burk's smooth rockcress	UP
ARLAL	smooth rockcress	UP
ARLO2	slimspike threeawn	UP
ARLOG	slimspike threeawn	UP
ARLOL2	slimspike threeawn	UP
ARLU	white sagebrush	UP
ARLUL2	white sagebrush	UP
ARLY2	lyrate rockcress	UP
ARMA7	pipevine	UP
ARME4	Mexican pricklypoppy	UP
ARMI2	lesser burrdock	UP
ARMI3	lamb succory	UP
ARMI5	green rockcress	UP
ARMOR	armoracia	UP
ARMU3	great Indian plaintain	UP
ARNIC	arnica	UP
ARNOG	Indian plaintain	UP
ARNOS	arnoseris	UP
ARNU2	wild sarsaparilla	UP
AROL	prairie threeawn	UP
ARPA2	spreading rockcress	UP
ARPL4	groovestem Indian plaintain	UP
ARPO2	crested pricklypoppy	UP
ARPO4	Roman wormwood	UP
ARPR3	running rockcress	UP
ARPU3	eastern dwarf mistletoe	UP
ARPU8	arrowfeather threeawn	UP
ARPU9	purple threeawn	UP
ARPUN	blue threeawn	UP
ARPUP4	arrowfeather threeawn	UP
ARRA	American spikenard	UP
ARRA2	s-curve threeawn	UP
ARRAR	American spikenard	UP
ARRHE	oatgrass	UP
ARRU4	horseradish	UP
ARSE2	thymeleaf sandwort	UP
ARSE3	Virginia snakeroot	UP
ARSE4	sawtooth wormwood	UP
ARSH2	Short's rockcress	UP
ARSP2	devil's walkingstick	UP
ARST6	oldwoman	UP
ARTEM	sagebrush	UP
ARTH	mouseear cress	UP
ARTHR	carpgrass	UP
ARTO	woolly burrdock	UP
ARTO3	woolly dutchman's pipe	UP
ARTR	Jack in the pulpit	UP
ARTRP	Jack in the pulpit	UP
ARTRS	Jack in the pulpit	UP
ARTRT3	Jack in the pulpit	UP
ARTU	seaside threeawn	UP
ARUM2	arum	UP
ARUNC	aruncus	UP
ARUND2	cane	UP
ARUND4	giant reed	UP
ARUV	kinnikinnick	UP
ARVU	common wormwood	UP
ARVU2	woodland burrdock	UP
ARVUV	common wormwood	UP
ASAG2	purple milkvetch	UP
ASAL7	alpine milkvetch	UP
ASALA4	alpine milkvetch	UP
ASAM	clasping milkweed	UP
ASAR2	blue woodruff	UP
ASARU	wildginger	UP
ASBR2	Bradley's spleewort	UP
ASCA	Canadian wildginger	UP
ASCA11	Canadian milkvetch	UP
ASCAC6	Canadian milkvetch	UP
ASCI4	cicer milkvetch	UP
ASCLE	milkweed	UP
ASCR2	groundplum milkvetch	UP
ASCRC3	groundplum milkvetch	UP
ASCRT	groundplum milkvetch	UP
ASDI4	Ozark milkvetch	UP
ASDID3	Ozark milkvetch	UP
ASEX	poke milkweed	UP
ASGL4	licorice milkvetch	UP
ASHI	green milkweed	UP
ASIMI	pawpaw	UP
ASIN	swamp milkweed	UP
ASINI	swamp milkweed	UP
ASINP2	swamp milkweed	UP
ASLA3	sidecluster milkweed	UP
ASME	Mead's milkweed	UP
ASMO2	mountain spleenwort	UP
ASNE2	Cooper's milkvetch	UP
ASOF	garden asparagus	UP
ASOV	oval-leaf milkweed	UP
ASPAR	asparagus	UP
ASPE	aquatic milkweed	UP
ASPER	German-madwort	UP
ASPER2	woodruff	UP
ASPI	lobed spleenwort	UP
ASPL	ebony spleenwort	UP
ASPLE	spleenwort	UP
ASPLP	ebony spleenwort	UP
ASPR	German-madwort	UP
ASPU2	purple milkweed	UP
ASQU	fourleaf milkweed	UP
ASRE	blackstem spleenwort	UP
ASRH2	walking fern	UP
ASRU	red milkweed	UP
ASRU2	wallrue	UP
ASRUC	wallrue	UP
ASRUL	lance asplenium	UP
ASSC11	Hart's tonguefern	UP
ASSCA	Hart's tonguefern	UP
ASSP	showy milkweed	UP
ASST	slimleaf milkweed	UP
ASSU3	prairie milkweed	UP
ASSY	common milkweed	UP
ASTA	Tatarian aster	UP
ASTE7	Tennessee milkvetch	UP
ASTER	aster	UP
ASTR	pawpaw	UP
ASTR10	brightgreen spleenwort	UP
ASTR2	maidenhair spleenwort	UP
ASTRA	milkvetch	UP
ASTRQ	maidenhair spleenwort	UP
ASTRT	maidenhair spleenwort	UP
ASTU	butterfly milkweed	UP
ASTUI	butterfly milkweed	UP
ASTUT2	butterfly milkweed	UP
ASVA	redring milkweed	UP
ASVE	whorled milkweed	UP
ASVI	green comet milkweed	UP
ASVI2	green antelopehorn	UP
ATAR2	silverscale saltbush	UP
ATARA	silverscale saltbush	UP
ATARA2	silverscale saltbush	UP
ATBE	belladonna	UP
ATCR2	crested saltbush	UP
ATFI	common ladyfern	UP
ATFIA	subarctic ladyfern	UP
ATFIA2	asplenium ladyfern	UP
ATGL	Scotland orache	UP
ATHO	garden orache	UP
ATHYR	ladyfern	UP
ATLI3	grassleaf orache	UP
ATPA4	spear saltbush	UP
ATPR	triangle orache	UP
ATRIP	saltbush	UP
ATRO	tumbling saltweed	UP
ATROP	belladonna	UP
ATTA	Tatarian orache	UP
AUFL	smooth yellow false foxglove	UP
AUFLF	smooth yellow false foxglove	UP
AUFLM	smooth yellow false foxglove	UP
AUGR	largeflower yellow false foxglove	UP
AUGRP	largeflower yellow false foxglove	UP
AULA	entireleaf yellow false foxglove	UP
AUPE2	fernleaf yellow false foxglove	UP
AUPEA	fernleaf yellow false foxglove	UP
AUPEI	fernleaf yellow false foxglove	UP
AUPEP	fernleaf yellow false foxglove	UP
AUREO	false foxglove	UP
AURIN	aurinia	UP
AUSA	basket of gold	UP
AUVI	downy yellow false foxglove	UP
AVENA	oat	UP
AVFA	wild oat	UP
AVSA	common oat	UP
AVST	animated oat	UP
AZCA	Carolina mosquitofern	UP
AZME	Mexican mosquitofern	UP
AZOLL	mosquitofern	UP
BAAL	white wild indigo	UP
BAALM	largeleaf wild indigo	UP
BAAU	blue wild indigo	UP
BAAUA	blue wild indigo	UP
BAAUM	blue wild indigo	UP
BABR2	longbract wild indigo	UP
BABRL2	longbract wild indigo	UP
BACCH	baccharis	UP
BACOP	waterhyssop	UP
BAHA	eastern baccharis	UP
BAHI3	hairy smotherweed	UP
BALLO	horehound	UP
BALSA2	balsamita	UP
BAMA8	costmary	UP
BANI	black horehound	UP
BANIN	black horehound	UP
BAOR	American yellowrocket	UP
BAPA2	twining screwstem	UP
BAPAP	twining screwstem	UP
BAPTI	wild indigo	UP
BARBA	yellowrocket	UP
BARO	disk waterhyssop	UP
BARTO	screwstem	UP
BASSI	smotherweed	UP
BATI	horseflyweed	UP
BAVE	early yellowrocket	UP
BAVI3	yellow screwstem	UP
BAVU	garden yellowrocket	UP
BEAL2	yellow birch	UP
BEALA	yellow birch	UP
BEALM	yellow birch	UP
BEBU	Bull's coraldrops	UP
BECA2	American barberry	UP
BECH	blackberry lily	UP
BECKM	sloughgrass	UP
BEER	cutleaf waterparsnip	UP
BEIN2	hoary false madwort	UP
BELAM	belamcanda	UP
BELE	sweet birch	UP
BELLI	bellis	UP
BEMU2	Murray's birch	UP
BENI	river birch	UP
BEPA	paper birch	UP
BEPAC2	mountain paper birch	UP
BEPAP	paper birch	UP
BEPE2	lawndaisy	UP
BEPE3	European white birch	UP
BEPO	gray birch	UP
BEPR	cultivated beet	UP
BEPU4	bog birch	UP
BEPU5	downy birch	UP
BEPUG	bog birch	UP
BEPUG2	bog birch	UP
BEPUP2	bog birch	UP
BERBE	barberry	UP
BERCH	supplejack	UP
BERGI	bergia	UP
BERTE	false madwort	UP
BERUL	waterparsnip	UP
BESC	Alabama supplejack	UP
BESSE	kittentail	UP
BESY	American sloughgrass	UP
BETA	beet	UP
BETE	Texas bergia	UP
BETH	Japanese barberry	UP
BETUL	birch	UP
BEVU	common barberry	UP
BEVU2	common beet	UP
BIAL	romerillo	UP
BIALR	romerillo	UP
BIAR	bearded beggarticks	UP
BIBI3	Delmarva beggarticks	UP
BIBI7	Spanish needles	UP
BICA	crossvine	UP
BICE	nodding beggartick	UP
BICO	crowned beggarticks	UP
BICO5	purplestem beggarticks	UP
BIDEN	beggarticks	UP
BIDI	small beggarticks	UP
BIFOR	bishop	UP
BIFR	devil's beggartick	UP
BIGNO	bignonia	UP
BILA	smooth beggartick	UP
BIPI	hairy beggarticks	UP
BIRA	wild bishop	UP
BITR	threelobe beggarticks	UP
BIVU	big devils beggartick	UP
BLCI	downy pagoda-plant	UP
BLEPH5	pagoda-plant	UP
BLHI	hairy pagoda-plant	UP
BLHIH	hairy pagoda-plant	UP
BOAC2	tailed grapefern	UP
BOAS	white doll's daisy	UP
BOASA	white doll's daisy	UP
BOASL	white doll's daisy	UP
BOASR	white doll's daisy	UP
