NAME_CD	GROUP_ID	GENUS	SPECIES	AUTHOR	SSP	SSP_AUTHOR	VAR	VAR_AUTHOR	F	F_AUTHOR	FAMILY_NAME	ACCEPTED_IND	ACCEPTED_IND_USDA	NAME_CD_USDA	INVASIVE
SHERA	37320	Sherardia		L.							Rubiaceae	Y	Y	SHERA	
SHAR2	37319	Sherardia	arvensis	L.							Rubiaceae	Y	Y	SHAR2	
RUPPI	35547	Ruppia		L.							Ruppiaceae	Y	Y	RUPPI	
RUMA5	35546	Ruppia	maritima	L.							Ruppiaceae	Y	Y	RUMA5	
RUMAB	35546	Ruppia	maritima	L.			brevirostris	Agardh			Ruppiaceae	N	N	RUMAB	
RUMAE	35546	Ruppia	maritima	L.			exigua	Fernald & Wieg.			Ruppiaceae	N	N	RUMAE	
RUMAI	35546	Ruppia	maritima	L.			intermedia	(Thed.) Aschers. & Graebn.			Ruppiaceae	N	N	RUMAI	
RUMAL	35546	Ruppia	maritima	L.			longipes	Hagstr.			Ruppiaceae	N	N	RUMAL	
RUMAO2	35546	Ruppia	maritima	L.			obliqua	(Schur) Aschers. & Graebn.			Ruppiaceae	N	N	RUMAO2	
RUMAP	35546	Ruppia	maritima	L.			pacifica	St. John & Fosberg			Ruppiaceae	N	N	RUMAP	
RUMAR	35546	Ruppia	maritima	L.			rostrata	Agardh			Ruppiaceae	N	N	RUMAR	
RUMAS2	35546	Ruppia	maritima	L.			subcapitata	Fernald & Wieg.			Ruppiaceae	N	N	RUMAS2	
RUPE14	35546	Ruppia	pectinata	Rydb.							Ruppiaceae	N	N	RUPE14	
PHELL	30251	Phellodendron		Rupr.							Rutaceae	Y	Y	PHELL	
PHAM2	30249	Phellodendron	amurense	Rupr.							Rutaceae	Y	Y	PHAM2	
PTELE	33238	Ptelea		L.							Rutaceae	Y	Y	PTELE	
PTTRT	33236	Ptelea	trifoliata	L.	trifoliata						Rutaceae	Y	Y	PTTRT	
PTTRM	33234	Ptelea	trifoliata	L.	trifoliata		mollis	Torr. & A. Gray			Rutaceae	Y	Y	PTTRM	
PTTO	33234	Ptelea	tomentosa	Raf.							Rutaceae	N	N	PTTO	
PTTRD	33234	Ptelea	trifoliata	L.			deamiana	Nieuwl.			Rutaceae	N	N	PTTRD	
PTTRT2	33235	Ptelea	trifoliata	L.	trifoliata		trifoliata				Rutaceae	Y	Y	PTTRT2	
VP-347	33235	Ptelea	trifoliata	L., sensu Fernald, also Swink & Wilhelm							Rutaceae	N	N		
ZANTH	42887	Zanthoxylum		L.							Rutaceae	Y	Y	ZANTH	
ZAAM	42867	Zanthoxylum	americanum	Mill.							Rutaceae	Y	Y	ZAAM	
VP-112	42867	Xanthoxylum	americanum	Mill.							Rutaceae	N	N		
POPUL	32323	Populus		L.							Salicaceae	Y	Y	POPUL	
POAL7	32305	Populus	alba	L.							Salicaceae	Y	Y	POAL7	yes
POALB	32305	Populus	alba	L.			bolleana	Lauche			Salicaceae	N	N	POALB	
POALP	32305	Populus	alba	L.			pyramidalis	Bunge			Salicaceae	N	N	POALP	
POBA2	32309	Populus	balsamifera	L.							Salicaceae	Y	Y	POBA2	
POCA33	91070	Populus	candicans	Aiton							Salicaceae	Y	N	POCA33	
POBAB2	91070	Populus	balsamifera	L.			balsamifera				Salicaceae	N	Y	POBAB2	
POBAC2	91070	Populus	balsamifera	L.			candicans	(Aiton) A. Gray			Salicaceae	N	N	POBAC2	
POBAF	91070	Populus	balsamifera	L.			fernaldiana	Rouleau			Salicaceae	N	N	POBAF	
POBAL	91070	Populus	balsamifera	L.			lanceolata	Marsh.			Salicaceae	N	N	POBAL	
POBAM	91070	Populus	balsamifera	L.			michauxii	(Dode) A. Henry			Salicaceae	N	N	POBAM	
POBAS2	91070	Populus	balsamifera	L.			subcordata	Hyl.			Salicaceae	N	N	POBAS2	
POMI7	91070	Populus	michauxii	Dode							Salicaceae	N	N	POMI7	
POTA2	91070	Populus	tacamahaca	Mill.							Salicaceae	N	N	POTA2	
POTAC	91070	Populus	tacamahaca	Mill.			candicans	(Aiton) Stout			Salicaceae	N	N	POTAC	
POTAL	91070	Populus	tacamahaca	Mill.			lanceolata	(Marsh.) Farw.			Salicaceae	N	N	POTAL	
POTAM2	91070	Populus	tacamahaca	Mill.			michauxii	(Dode) Farw.			Salicaceae	N	N	POTAM2	
POCA14	32297	Populus	x canescens	(Aiton) Sm. (pro sp.) [P. alba x P. tremula]							Salicaceae	Y	Y	POCA14	yes
POALC	32297	Populus	alba	L.			canescens	Aiton			Salicaceae	N	N	POALC	
POHY6	32297	Populus	hybrida	Bieb.							Salicaceae	N	N	POHY6	
PODE3	32313	Populus	deltoides	W. Bartram ex Marshall							Salicaceae	Y	Y	PODE3	
POGR4	32317	Populus	grandidentata	Michx.							Salicaceae	Y	Y	POGR4	
POGRA2	32317	Populus	grandidentata	Michx.			angustata	Victorin			Salicaceae	N	N	POGRA2	
POGRM4	32317	Populus	grandidentata	Michx.			meridionalis	Tidestrom			Salicaceae	N	N	POGRM4	
POGRS	32317	Populus	grandidentata	Michx.			subcordata	Victorin			Salicaceae	N	N	POGRS	
POHE5	32298	Populus	x heimburgeri	Boivin [P. alba x P. tremuloides]							Salicaceae	Y	Y	POHE5	
POHE4	32318	Populus	heterophylla	L.							Salicaceae	Y	Y	POHE4	
POAR15	32318	Populus	argentea	Michx. f.							Salicaceae	N	N	POAR15	
POJA2	32301	Populus	x jackii	Sarg. [P. balsamifera x P. deltoides]							Salicaceae	Y	Y	POJA2	
POAN18	32301	Populus	x andrewsii	Sarg.							Salicaceae	N	N	POAN18	
POBE5	32301	Populus	x bernardii	Boivin							Salicaceae	N	N	POBE5	
PODU5	32301	Populus	x dutillyi	Lepage							Salicaceae	N	N	PODU5	
POGE4	32301	Populus	x generosa	Henry							Salicaceae	N	N	POGE4	
POGI3	32301	Populus	x gileadensis	Rouleau							Salicaceae	N	N	POGI3	
POMA21	32301	Populus	manitobensis	Dode							Salicaceae	N	N	POMA21	
PONI	32319	Populus	nigra	L.							Salicaceae	Y	Y	PONI	yes
PODI8	32319	Populus	dilatata	Aiton							Salicaceae	N	N	PODI8	
POIT	32319	Populus	italica	(Du Roi) Moench							Salicaceae	N	N	POIT	
PONII	32319	Populus	nigra	L.			italica	Du Roi			Salicaceae	N	N	PONII	
POSM2	32304	Populus	x smithii	Boivin [P. grandidentata x P. tremuloides]							Salicaceae	Y	Y	POSM2	
POBA8	32304	Populus	x barnesii	W.H. Wagner							Salicaceae	N	N	POBA8	
POTR5	32322	Populus	tremuloides	Michx.							Salicaceae	Y	Y	POTR5	
POAU8	32322	Populus	aurea	Tidestrom							Salicaceae	N	N	POAU8	
POCE6	32322	Populus	cercidiphylla	Britton							Salicaceae	N	N	POCE6	
POPO12	32322	Populus	x polygonifolia	Bernard							Salicaceae	N	N	POPO12	
POTRA	32322	Populus	tremuloides	Michx.			aurea	(Tidestrom) Daniels			Salicaceae	N	N	POTRA	
POTRC2	32322	Populus	tremuloides	Michx.			cercidiphylla	(Britton) Sudworth			Salicaceae	N	N	POTRC2	
POTRI2	32322	Populus	tremuloides	Michx.			intermedia	Victorin			Salicaceae	N	N	POTRI2	
POTRM	32322	Populus	tremuloides	Michx.			magnifica	Victorin			Salicaceae	N	N	POTRM	
POTRR	32322	Populus	tremuloides	Michx.			rhomboidea	Victorin			Salicaceae	N	N	POTRR	
POTRT	32322	Populus	tremula	L.	tremuloides	(Michx.) A.& D. Love					Salicaceae	N	N	POTRT	
POTRV	32322	Populus	tremuloides	Michx.			vancouveriana	(Trel.) Sarg.			Salicaceae	N	N	POTRV	
POVA11	32322	Populus	vancouveriana	Trel.							Salicaceae	N	N	POVA11	
SALIX	35855	Salix		L.							Salicaceae	Y	Y	SALIX	
SAAL2	35732	Salix	alba	L.							Salicaceae	Y	Y	SAAL2	
SAALC	35732	Salix	alba	L.			caerulea	(Sm.) Sm.			Salicaceae	N	N	SAALC	
SAALC2	35732	Salix	alba	L.	caerulea	(Sm.) Rech. f.					Salicaceae	N	N	SAALC2	
SAALC3	35732	Salix	alba	L.			calva	G.F.W. Mey.			Salicaceae	N	N	SAALC3	
SAALV	35732	Salix	alba	L.			vitellina	(L.) Stokes			Salicaceae	N	N	SAALV	
SAALV2	35732	Salix	alba	L.	vitellina	(L.) Arcang.					Salicaceae	N	N	SAALV2	
SAVI80	35732	Salix	vitellina	L.							Salicaceae	N	N	SAVI80	
SAAM2	35733	Salix	amygdaloides	Anderss.							Salicaceae	Y	Y	SAAM2	
SAAMW	35733	Salix	amygdaloides	Anderss.			wrightii	(Anderss.) Schneid.			Salicaceae	N	N	SAAMW	
SANIA	35733	Salix	nigra	Marsh.			amygdaloides	(Anderss.) Anderss.			Salicaceae	N	N	SANIA	
SANIW	35733	Salix	nigra	Marsh.			wrightii	(Anderss.) Anderss.			Salicaceae	N	N	SANIW	
SAWR3	35733	Salix	wrightii	Anderss.							Salicaceae	N	N	SAWR3	
SABE2	35743	Salix	bebbiana	Sarg.							Salicaceae	Y	Y	SABE2	
MITCH	26162	Mitchella		L.							Rubiaceae	Y	Y	MITCH	
MIRE	26161	Mitchella	repens	L.							Rubiaceae	Y	Y	MIRE	
TIPUL	40369	Tipularia		Nutt.							Orchidaceae	Y	Y	TIPUL	
TIDI	40368	Tipularia	discolor	(Pursh) Nutt.							Orchidaceae	Y	Y	TIDI	
TIUN2	40368	Tipularia	unifolia	(Muhl.) Britton, Sterns & Poggenberg							Orchidaceae	N	N	TIUN2	
TRIPH	41137	Triphora		Nutt.							Orchidaceae	Y	Y	TRIPH	
TRTR3	41135	Triphora	trianthophora	(Sw.) Rydb.							Orchidaceae	Y	Y	TRTR3	
TRTRS	41135	Triphora	trianthophora	(Sw.) Rydb.			schaffneri	Camp			Orchidaceae	N	N	TRTRS	
CONOP	10498	Conopholis		Wallr.							Orobanchaceae	Y	Y	CONOP	
COAM	10497	Conopholis	americana	(L.) Wallr. f.							Orobanchaceae	Y	Y	COAM	
ORAM	10497	Orobanche	americana	L.							Orobanchaceae	N	N	ORAM	
EPIFA	14713	Epifagus		Nutt.							Orobanchaceae	Y	Y	EPIFA	
EPVI2	14712	Epifagus	virginiana	(L.) W. Bart.							Orobanchaceae	Y	Y	EPVI2	
LEVI14	14712	Leptamnium	virginianum	(L.) Raf.							Orobanchaceae	N	N	LEVI14	
OROBA	27935	Orobanche		L.							Orobanchaceae	Y	Y	OROBA	
ORFA	27918	Orobanche	fasciculata	Nutt.							Orobanchaceae	Y	Y	ORFA	
ANFA2	27918	Anoplanthus	fasciculatus	(Nutt.) Walp.							Orobanchaceae	N	N	ANFA2	
APFA	27918	Aphyllon	fasciculatum	(Nutt.) Torr. & A. Gray							Orobanchaceae	N	N	APFA	
ORFAF	27918	Orobanche	fasciculata	Nutt.			franciscana	Achey			Orobanchaceae	N	N	ORFAF	
ORFAL	27918	Orobanche	fasciculata	Nutt.			lutea	(Parry) Achey			Orobanchaceae	N	N	ORFAL	
ORFAS	27918	Orobanche	fasciculata	Nutt.			subulata	Goodman			Orobanchaceae	N	N	ORFAS	
ORFAT	27918	Orobanche	fasciculata	Nutt.			typica	Achey			Orobanchaceae	N	N	ORFAT	
THFA	27918	Thalesia	fasciculata	(Nutt.) Britton							Orobanchaceae	N	N	THFA	
THLU	27918	Thalesia	lutea	(Parry) Rydb.							Orobanchaceae	N	N	THLU	
ORUN	27930	Orobanche	uniflora	L.							Orobanchaceae	Y	Y	ORUN	
APUN2	27930	Aphyllon	uniflorum	(L.) Torr. & A. Gray							Orobanchaceae	N	N	APUN2	
ORPO	27930	Orobanche	porphyrantha	G. Beck							Orobanchaceae	N	N	ORPO	
ORPU7	27930	Orobanche	purpurea	Jacq.							Orobanchaceae	N	N	ORPU7	
ORSE4	27930	Orobanche	sedii	(Suksdorf) Fech.							Orobanchaceae	N	N	ORSE4	
ORTE3	27930	Orobanche	terrae-novae	Fernald							Orobanchaceae	N	N	ORTE3	
ORUNM2	27930	Orobanche	uniflora	L.			minuta	(Suksdorf) G. Beck			Orobanchaceae	N	N	ORUNM2	
ORUNO	27930	Orobanche	uniflora	L.	occidentalis	(Greene) Abrams ex Ferris					Orobanchaceae	N	N	ORUNO	
ORUNO2	27930	Orobanche	uniflora	L.			occidentalis	(Greene) Taylor & MacBryde			Orobanchaceae	N	N	ORUNO2	
ORUNP	27930	Orobanche	uniflora	L.			purpurea	(Heller) Achey			Orobanchaceae	N	N	ORUNP	
ORUNS	27930	Orobanche	uniflora	L.			sedii	(Suksdorf) Achey			Orobanchaceae	N	N	ORUNS	
ORUNT	27930	Orobanche	uniflora	L.			terrae-novae	(Fernald) Munz			Orobanchaceae	N	N	ORUNT	
ORUNT2	27930	Orobanche	uniflora	L.			typica	Achey			Orobanchaceae	N	N	ORUNT2	
THUN3	27930	Thalesia	uniflora	(L.) Britton							Orobanchaceae	N	N	THUN3	
OSMUN	28057	Osmunda		L.							Osmundaceae	Y	Y	OSMUN	
OSCI	28053	Osmunda	cinnamomea	L.							Osmundaceae	Y	Y	OSCI	
OSCL2	28054	Osmunda	claytoniana	L.							Osmundaceae	Y	Y	OSCL2	
OSRES	28055	Osmunda	regalis	L.			spectabilis	(Willd.) A. Gray			Osmundaceae	Y	Y	OSRES	
OXALI	28116	Oxalis		L.							Oxalidaceae	Y	Y	OXALI	
OXCO	28085	Oxalis	corniculata	L.							Oxalidaceae	Y	Y	OXCO	
ACCO7	28085	Acetosella	corniculata	(L.) Kuntze							Oxalidaceae	N	N	ACCO7	
OXCOA	28085	Oxalis	corniculata	L.			atropurpurea	Planch.			Oxalidaceae	N	N	OXCOA	
OXCOL	28085	Oxalis	corniculata	L.			lupulina	(R. Knuth) Zucc.			Oxalidaceae	N	N	OXCOL	
OXCOL2	28085	Oxalis	corniculata	L.			langloisii	(Small) Wieg.			Oxalidaceae	N	N	OXCOL2	
OXCOM	28085	Oxalis	corniculata	L.			macrophylla	Arsene ex R. Knuth			Oxalidaceae	N	N	OXCOM	
OXCOM3	28085	Oxalis	corniculata	L.			minor	Laing			Oxalidaceae	N	N	OXCOM3	
OXCOR	28085	Oxalis	corniculata	L.			reptans	Laing			Oxalidaceae	N	N	OXCOR	
OXCOV	28085	Oxalis	corniculata	L.			villosa	(Bieb.) Hohen.			Oxalidaceae	N	N	OXCOV	
OXCOV2	28085	Oxalis	corniculata	L.			viscidula	Wieg.			Oxalidaceae	N	N	OXCOV2	
OXLA9	28085	Oxalis	langloisii	(Small) Fedde							Oxalidaceae	N	N	OXLA9	
OXPU4	28085	Oxalis	pusilla	Salisb.							Oxalidaceae	N	N	OXPU4	
OXRE	28085	Oxalis	repens	Thunb.							Oxalidaceae	N	N	OXRE	
OXVI5	28085	Oxalis	villosa	Bieb.							Oxalidaceae	N	N	OXVI5	
XACO2	28085	Xanthoxalis	corniculata	(L.) Small							Oxalidaceae	N	N	XACO2	
XACOA	28085	Xanthoxalis	corniculata	(L.) Small			atropurpurea	(Planch.) Moldenke			Oxalidaceae	N	N	XACOA	
XALA	28085	Xanthoxalis	langloisii	Small							Oxalidaceae	N	N	XALA	
XARE	28085	Xanthoxalis	repens	(Thunb.) Moldenke							Oxalidaceae	N	N	XARE	
OXDI2	91015	Oxalis	dillenii	Jacq.							Oxalidaceae	Y	N	OXDI2	
OXCOD	91015	Oxalis	corniculata	L.			dillenii	(Jacq.) Trel.			Oxalidaceae	N	N	OXCOD	
VP-354	91015	Oxalis	stricta	auct. non L., sensu Swink & Wilhelm							Oxalidaceae	N	N		
XADI	91015	Xanthoxalis	dillenii	(Jacq.) Holub							Oxalidaceae	N	N	XADI	
VP-43	90043	Oxalis	dillenii	Jacq.	dillenii						Oxalidaceae	Y	N		
OXFL	90043	Oxalis	florida	Salisb.							Oxalidaceae	N	N	OXFL	
OXDIR3	90043	Oxalis	dillenii	Jacq.			radicans	Shinners			Oxalidaceae	N	N	OXDIR3	
XAFL	90043	Xanthoxalis	florida	(Salisb.) Moldenke							Oxalidaceae	N	N	XAFL	
OXDIF	91016	Oxalis	dillenii	Jacq.	filipes	(Small) Eiten					Oxalidaceae	Y	N	OXDIF	
OXFI2	91016	Oxalis	filipes	Small							Oxalidaceae	N	N	OXFI2	
OXBR	91016	Oxalis	brittoniae	Small							Oxalidaceae	N	N	OXBR	
XABR2	91016	Xanthoxalis	brittoniae	(Small) Small							Oxalidaceae	N	N	XABR2	
XAFI	91016	Xanthoxalis	filipes	(Small) Small							Oxalidaceae	N	N	XAFI	
OXFLF	91016	Oxalis	florida	Salisb.			filipes	(Small) Ahles			Oxalidaceae	N	N	OXFLF	
OXST	28111	Oxalis	stricta	L.							Oxalidaceae	Y	Y	OXST	
OXFO	28111	Oxalis	fontana	Bunge							Oxalidaceae	N	N	OXFO	
OXEU2	28111	Oxalis	europaea	Jord.							Oxalidaceae	N	N	OXEU2	
OXCY	28111	Oxalis	cymosa	Small							Oxalidaceae	N	N	OXCY	
CECY3	28111	Ceratoxalis	cymosa	(Small) Lunell							Oxalidaceae	N	N	CECY3	
XACY2	28111	Xanthoxalis	cymosa	(Small) Small							Oxalidaceae	N	N	XACY2	
XAST2	28111	Xanthoxalis	stricta	(L.) Small							Oxalidaceae	N	N	XAST2	
OXBU	28111	Oxalis	bushii	(Small) Small							Oxalidaceae	N	N	OXBU	
OXEUB2	28111	Oxalis	europaea	Jord.			bushii	(Small) Wieg.			Oxalidaceae	N	N	OXEUB2	
VP-21	28111	Oxalis	europaea	Jord.			bushii	(Small) Wieg.	vestita	 Wieg	Oxalidaceae	N	N		
XABU	28111	Xanthoxalis	bushii	Small							Oxalidaceae	N	N	XABU	
OXFOB	28111	Oxalis	fontana	Bunge			bushii	(Small) Hara			Oxalidaceae	N	N	OXFOB	
OXEUR	28111	Oxalis	europaea	Jord.			rufa	(Small) Young			Oxalidaceae	N	N	OXEUR	
OXRU4	28111	Oxalis	rufa	Small							Oxalidaceae	N	N	OXRU4	
OXSTR	28111	Oxalis	stricta	L.			rufa	(Small) Farw.			Oxalidaceae	N	N	OXSTR	
XARU	28111	Xanthoxalis	rufa	(Small) Small							Oxalidaceae	N	N	XARU	
CECO3	28111	Ceratoxalis	coloradensis	(Rydb.) Lunell							Oxalidaceae	N	N	CECO3	
OXCO8	28111	Oxalis	coloradensis	Rydb.							Oxalidaceae	N	N	OXCO8	
XACO4	28111	Xanthoxalis	coloradensis	(Rydb.) Rydb.							Oxalidaceae	N	N	XACO4	
OXSTV	28111	Oxalis	stricta	L.			villicaulis	(Wieg.) Farw.			Oxalidaceae	N	N	OXSTV	
PORE2	31909	Polemonium	reptans	L.							Polemoniaceae	Y	Y	PORE2	
POLYG	32041	Polygala		L.							Polygalaceae	Y	Y	POLYG	
POCR	31979	Polygala	cruciata	L.							Polygalaceae	Y	Y	POCR	
POCRA	31977	Polygala	cruciata	L.			aquilonia	Fernald & Schub.			Polygalaceae	Y	Y	POCRA	
POIN4	31992	Polygala	incarnata	L.							Polygalaceae	Y	Y	POIN4	
GAIN	31992	Galypola	incarnata	(L.) Nieuwl.							Polygalaceae	N	N	GAIN	
POPA5	32015	Polygala	paucifolia	Willd.							Polygalaceae	Y	Y	POPA5	
TRPA13	32015	Triclisperma	paucifolia	(Willd.) Nieuwl.							Polygalaceae	N	N	TRPA13	
POPO	32020	Polygala	polygama	Walt.							Polygalaceae	Y	Y	POPO	
POAB4	32020	Polygala	aboriginum	Small							Polygalaceae	N	N	POAB4	
POPOO	32020	Polygala	polygama	Walt.			obtusata	Chod.			Polygalaceae	N	N	POPOO	
VP-111	32020	Polygala	polygama	Walt.			obtusa	Chodat.	pallida	Britton	Polygalaceae	N	N		
POPOR	32020	Polygala	polygama	Walt.			ramulosa	Farw.			Polygalaceae	N	N	POPOR	
POSA3	32028	Polygala	sanguinea	L.							Polygalaceae	Y	Y	POSA3	
POVI15	32028	Polygala	viridescens	L.							Polygalaceae	N	N	POVI15	
VP-110	32028	Polygala	sanguinea	L.					viridescens	(L.) Farw.	Polygalaceae	N	N		
POSE3	32030	Polygala	senega	L.							Polygalaceae	Y	Y	POSE3	
POSEL	32030	Polygala	senega	L.			latifolia	Torr. & A. Gray			Polygalaceae	N	N	POSEL	
POVE	32037	Polygala	verticillata	L.							Polygalaceae	Y	Y	POVE	
POVEI	32035	Polygala	verticillata	L.			isocycla	Fernald			Polygalaceae	Y	Y	POVEI	
POVES	32035	Polygala	verticillata	L.			sphenostachya	Pennell			Polygalaceae	N	N	POVES	
ERIOG	15775	Eriogonum		Michx.							Polygonaceae	Y	Y	ERIOG	
ERAN4	15359	Eriogonum	annuum	Nutt.							Polygonaceae	Y	Y	ERAN4	
FAGOP2	16567	Fagopyrum		Mill.							Polygonaceae	Y	Y	FAGOP2	
FAES2	16565	Fagopyrum	esculentum	Moench							Polygonaceae	Y	Y	FAES2	
FAFA	16565	Fagopyrum	fagopyrum	(L.) Karst.							Polygonaceae	N	N	FAFA	
FASA	16565	Fagopyrum	sagittatum	Gilib.							Polygonaceae	N	N	FASA	
FAVU2	16565	Fagopyrum	vulgare	Hill							Polygonaceae	N	N	FAVU2	
POFA4	16565	Polygonum	fagopyrum	L.							Polygonaceae	N	N	POFA4	
POLYG3	32062	Polygonella		Michx.							Polygonaceae	Y	Y	POLYG3	
POAR4	32052	Polygonella	articulata	(L.) Meisn.							Polygonaceae	Y	Y	POAR4	
DEAR5	32052	Delopyrum	articulatum	(L.) Small							Polygonaceae	N	N	DEAR5	
POAR13	32052	Polygonum	articulatum	L.							Polygonaceae	N	N	POAR13	
POLYG4	32168	Polygonum		L.							Polygonaceae	Y	Y	POLYG4	
POAC3	32063	Polygonum	achoreum	Blake							Polygonaceae	Y	Y	POAC3	
POERA	32063	Polygonum	erectum	L.	achoreum	(S.F. Blake) A.& D. Love					Polygonaceae	N	N	POERA	
POAM8	32068	Polygonum	amphibium	L.							Polygonaceae	Y	Y	POAM8	
POAME	32066	Polygonum	amphibium	L.			emersum	Michx.			Polygonaceae	Y	Y	POAME	
PEAM8	32066	Persicaria	amphibia	(L.) S.F. Gray p.p.							Polygonaceae	N	N	PEAM8	
PEAME	32066	Persicaria	amphibia	(L.) S.F. Gray			emersa	(Michx.) Hickman			Polygonaceae	N	N	PEAME	
PECO23	32066	Persicaria	coccinea	(Muhl. ex Willd.) Greene							Polygonaceae	N	N	PECO23	
PEMU11	32066	Persicaria	muehlenbergii	(S. Watson) Small							Polygonaceae	N	N	PEMU11	
POAMC	32066	Polygonum	amphibium	L.			coccineum	(Muhl. ex Willd.) Farw.			Polygonaceae	N	N	POAMC	
POCO8	32066	Polygonum	coccineum	Muhl. ex Willd.							Polygonaceae	N	N	POCO8	
POCOP4	32066	Polygonum	coccineum	Muhl. ex Willd.			pratincola	(Greene) Stanford			Polygonaceae	N	N	POCOP4	
POCOT	32066	Polygonum	coccineum	Muhl. ex Willd.			terrestre	Willd.			Polygonaceae	N	N	POCOT	
POMU10	32066	Polygonum	muehlenbergii	S. Watson							Polygonaceae	N	N	POMU10	
POMUT	32066	Polygonum	muehlenbergii	S. Watson			terrestre	(Willd.) Trel.			Polygonaceae	N	N	POMUT	
POAMS	32067	Polygonum	amphibium	L.			stipulaceum	Coleman			Polygonaceae	Y	Y	POAMS	
PEAMS	32067	Persicaria	amphibia	(L.) S.F. Gray			stipulacea	(Coleman) Hara			Polygonaceae	N	N	PEAMS	
PEME10	32067	Persicaria	mesochora	Greene							Polygonaceae	N	N	PEME10	
PENE10	32067	Persicaria	nebraskensis	Greene							Polygonaceae	N	N	PENE10	
POAMH	32067	Polygonum	amphibium	L.			hartwrightii	(A. Gray) Bissell			Polygonaceae	N	N	POAMH	
POAML	32067	Polygonum	amphibium	L.	laevimarginatum	Hulten					Polygonaceae	N	N	POAML	
POCOR2	32067	Polygonum	coccineum	Muhl. ex Willd.			rigidulum	(Sheldon) Stanford			Polygonaceae	N	N	POCOR2	
POFL12	32067	Polygonum	fluitans	Eaton							Polygonaceae	N	N	POFL12	
POHA13	32067	Polygonum	hartwrightii	A. Gray							Polygonaceae	N	N	POHA13	
POIN14	32067	Polygonum	inundatum	Raf.							Polygonaceae	N	N	POIN14	
PONA3	32067	Polygonum	natans	Eaton							Polygonaceae	N	N	PONA3	
POAR11	32070	Polygonum	arenastrum	Jord. ex Boreau							Polygonaceae	Y	Y	POAR11	
POAE3	32070	Polygonum	aequale	Lindm.							Polygonaceae	N	N	POAE3	
POAVA	32070	Polygonum	aviculare	L.			arenastrum	(Jord. ex Boreau) Rouy			Polygonaceae	N	N	POAVA	
POMO4	32070	Polygonum	montereyense	Brenckle							Polygonaceae	N	N	POMO4	
POAR6	32072	Polygonum	arifolium	L.							Polygonaceae	Y	Y	POAR6	
POARL3	32072	Polygonum	arifolium	L.			lentiforme	Fernald & Griscom			Polygonaceae	N	N	POARL3	
POARP	32072	Polygonum	arifolium	L.			pubescens	(Keller) Fernald			Polygonaceae	N	N	POARP	
TRAR6	32072	Tracaulon	arifolium	(L.) Raf.							Polygonaceae	N	N	TRAR6	
POAV	32074	Polygonum	aviculare	L.							Polygonaceae	Y	Y	POAV	
POAVV	32074	Polygonum	aviculare	L.			vegetum	Ledeb.			Polygonaceae	N	N	POAVV	
POHE14	32074	Polygonum	heterophyllum	Lindl.							Polygonaceae	N	N	POHE14	
POMO8	32074	Polygonum	monspeliense	Pers.							Polygonaceae	N	N	POMO8	
VP-217	90217	Polygonum	aviculare	L.	aviculare						Polygonaceae	Y	N		
VP-218	32085	Polygonum	aviculare	L.	buxiforme	(Small) Costea & Tardif					Polygonaceae	Y	N		
POBU2	32085	Polygonum	buxiforme	Small							Polygonaceae	N	Y	POBU2	
POAVL	32085	Polygonum	aviculare	L.			littorale	(Link) Mert.			Polygonaceae	N	N	POAVL	
POLI8	32085	Polygonum	littorale	Link							Polygonaceae	N	N	POLI8	
VP-219	90219	Polygonum	aviculare	L.	depressum	(Meissn.) Arcang.					Polygonaceae	Y	N		
VP-220	90220	Polygonum	aviculare	L.	neglectum	(Besser) Arcang.					Polygonaceae	Y	N		
POBU3	32084	Polygonum	bungeanum	Turcz.							Polygonaceae	Y	Y	POBU3	
PEBU3	32084	Persicaria	bungeana	(Turcz.) Nakai ex T. Mori							Polygonaceae	N	N	PEBU3	
POCAL2	32087	Polygonum	caespitosum	Blume			longisetum	(de Bruyn) Steward			Polygonaceae	Y	Y	POCAL2	
PELO10	32087	Persicaria	longiseta	(de Bruyn) Moldenke							Polygonaceae	N	N	PELO10	
POCEL	32087	Polygonum	cespitosum	Blume			longisetum	(de Bruyn) Steward [orthographic variant]			Polygonaceae	N	N	POCEL	
POLO12	32087	Polygonum	longisetum	de Bruyn							Polygonaceae	N	N	POLO12	
POCA8	32092	Polygonum	careyi	Olney							Polygonaceae	Y	Y	POCA8	
PECA30	32092	Persicaria	careyi	(Olney) Greene							Polygonaceae	N	N	PECA30	
POCI	32097	Polygonum	cilinode	Michx.							Polygonaceae	Y	Y	POCI	
BICI	32097	Bilderdykia	cilinodis	(Michx.) Greene							Polygonaceae	N	N	BICI	
BICIL	32097	Bilderdykia	cilinodis	(Michx.) Greene			laevigata	(Fernald) C.F. Reed			Polygonaceae	N	N	BICIL	
FACI	32097	Fallopia	cilinodis	(Michx.) Holub							Polygonaceae	N	N	FACI	
SABEC	35743	Salix	bebbiana	Sarg.			capreifolia	(Fernald) Fernald			Salicaceae	N	N	SABEC	
SABED	35743	Salix	bebbiana	Sarg.			depilis	Raup			Salicaceae	N	N	SABED	
SABEL	35743	Salix	bebbiana	Sarg.			luxurians	(Fernald) Fernald			Salicaceae	N	N	SABEL	
SABEP	35743	Salix	bebbiana	Sarg.			perrostrata	(Rydb.) Schneid.			Salicaceae	N	N	SABEP	
SABEP2	35743	Salix	bebbiana	Sarg.			projecta	(Fernald) Schneid.			Salicaceae	N	N	SABEP2	
